Census Tract,Total Population,Majority White,Majority Black,Majority American Indian,Majority Asian,Majority Latino,Majority Pop,White,Black,American Indian,Asian,Latino
101,4511,44.54,45.64,0,0.73,9.09,Majority Black,2009,2059,0,33,410
102.01,8262,43.98,34.08,0.77,1.46,19.69,Majority White,3634,2816,64,121,1627
102.02,2886,42.65,25.74,0,6.76,24.84,Majority White,1231,743,0,195,717
103,7266,53.11,25.3,0.08,4.94,16.57,Majority White,3859,1838,6,359,1204
104,5624,66.87,20.95,0,5.25,6.93,Majority White,3761,1178,0,295,390
105.01,4153,52.54,32.84,0,5.08,9.54,Majority White,2182,1364,0,211,396
105.02,2663,60.57,24.3,0.34,8.45,6.35,Majority White,1613,647,9,225,169
105.03,2215,67.77,6.82,0,12.73,12.69,Majority White,1501,151,0,282,281
106,7036,56.91,19.93,0,1.96,21.21,Majority White,4004,1402,0,138,1492
107.01,4822,47.84,14.6,0,9.37,28.18,Majority White,2307,704,0,452,1359
107.02,6733,45.69,18.21,0,5.11,31,Majority White,3076,1226,0,344,2087
201,4461,31.92,23.83,0,23.02,21.23,Majority White,1424,1063,0,1027,947
202,7540,58.66,13.13,0,13.13,15.08,Majority White,4423,990,0,990,1137
203.01,5540,76.37,3.39,0.18,12.69,7.36,Majority White,4231,188,10,703,408
203.02,5500,64.13,11.76,0.8,10.07,13.24,Majority White,3527,647,44,554,728
204,5049,48.9,20.36,0,14.62,16.12,Majority White,2469,1028,0,738,814
205,7637,36.34,12.82,0,25.17,25.68,Majority White,2775,979,0,1922,1961
206.01,6276,58.52,10.01,2.98,22.32,6.17,Majority White,3673,628,187,1401,387
206.02,5006,48.92,9.31,0,22.99,18.78,Majority White,2449,466,0,1151,940
207.01,1847,68.87,4.17,0.22,14.89,11.86,Majority White,1272,77,4,275,219
207.02,8416,52.76,8.69,0,17.97,20.59,Majority White,4440,731,0,1512,1733
208.01,6383,57.18,1.72,0,18.96,22.14,Majority White,3650,110,0,1210,1413
208.02,8210,34.57,7.56,1.46,43.84,12.57,Majority Asian,2838,621,120,3599,1032
209.01,6877,37.87,17.96,0,18.41,25.77,Majority White,2604,1235,0,1266,1772
209.02,4994,54.63,10.19,0,19.86,15.32,Majority White,2728,509,0,992,765
301.01,4192,57.97,18.08,0.55,3.98,19.42,Majority White,2430,758,23,167,814
301.02,2761,60.63,17.57,0.76,10.29,10.76,Majority White,1674,485,21,284,297
301.03,2375,52.8,16.88,0.21,18.02,12.08,Majority White,1254,401,5,428,287
301.04,3529,60.7,9.27,0,16.95,13.09,Majority White,2142,327,0,598,462
302,5327,78.43,5.97,0.04,4.6,10.96,Majority White,4178,318,2,245,584
303,4349,54.27,4.25,0.34,11.8,29.34,Majority White,2360,185,15,513,1276
304,3327,60.05,8.93,0.87,5.98,24.17,Majority White,1998,297,29,199,804
305,7764,69.47,3.17,0,5.9,21.46,Majority White,5394,246,0,458,1666
306.01,4745,60.06,15.47,0,8.41,16.06,Majority White,2850,734,0,399,762
306.03,2234,43.42,30.93,2.33,10.83,12.49,Majority White,970,691,52,242,279
306.04,3267,45.91,22.22,0,25.99,5.88,Majority White,1500,726,0,849,192
307.01,1687,52.7,22.94,0.53,14.82,9.01,Majority White,889,387,9,250,152
307.02,1005,63.48,10.75,0,22.69,3.08,Majority White,638,108,0,228,31
307.03,2806,61.76,19.03,1.28,4.35,13.58,Majority White,1733,534,36,122,381
307.06,4491,57.6,14.27,0,21.53,6.59,Majority White,2587,641,0,967,296
308,4682,74.6,3.84,0,8.54,13.01,Majority White,3493,180,0,400,609
309,3307,61.93,14.91,0.15,9.89,13.12,Majority White,2048,493,5,327,434
310,4456,74.21,4.02,0,7.41,14.36,Majority White,3307,179,0,330,640
311,4913,67.19,2.4,0.24,10.75,19.42,Majority White,3301,118,12,528,954
312,6320,55.84,19.72,0.74,10.98,12.72,Majority White,3529,1246,47,694,804
313,8545,49.74,20.78,0.27,19.12,10.09,Majority White,4250,1776,23,1634,862
314,5163,71.12,12.24,0.08,9.16,7.4,Majority White,3672,632,4,473,382
315.01,4154,40.8,28.43,0,20.1,10.66,Majority White,1695,1181,0,835,443
315.02,5151,40.63,35.68,1.59,5.47,16.62,Majority White,2093,1838,82,282,856
317,7157,59.17,23.89,0.78,4.36,11.79,Majority White,4235,1710,56,312,844
318,1837,79.1,2.12,0,9.42,9.36,Majority White,1453,39,0,173,172
319,2648,75.45,3.17,0.38,6.53,14.46,Majority White,1998,84,10,173,383
321,8061,71.39,5.64,0,3.61,19.35,Majority White,5755,455,0,291,1560
401,4446,73.66,4.81,0.58,3.6,17.34,Majority White,3275,214,26,160,771
402.01,7587,63.89,3.28,0.01,10.49,22.33,Majority White,4847,249,1,796,1694
402.02,7771,51.68,5.08,0,25.18,18.05,Majority White,4016,395,0,1957,1403
403,3182,58.89,3.65,0,25.24,12.23,Majority White,1874,116,0,803,389
404.01,3631,71.47,5.37,0,5.78,17.38,Majority White,2595,195,0,210,631
404.02,5168,82.82,1.57,0,7.7,7.91,Majority White,4280,81,0,398,409
406,3083,80.51,3.44,0,1.56,14.5,Majority White,2482,106,0,48,447
407,3501,75.21,2.51,0,5.63,16.65,Majority White,2633,88,0,197,583
408,1814,80.15,3.86,0,6.73,9.26,Majority White,1454,70,0,122,168
409,1886,90.51,2.12,0,2.07,5.3,Majority White,1707,40,0,39,100
501,2793,81.42,3.4,1.36,5.66,8.16,Majority White,2274,95,38,158,228
502,5405,83.16,3.16,0,3.68,9.99,Majority White,4495,171,0,199,540
503,3008,68.35,0,0.83,11.17,19.65,Majority White,2056,0,25,336,591
505,6293,89.43,0.72,0,3.21,6.64,Majority White,5628,45,0,202,418
506,2329,88.54,0.21,0,6.61,4.64,Majority White,2062,5,0,154,108
507,1604,92.46,0.31,0.25,3.68,3.3,Majority White,1483,5,4,59,53
508,1585,86.44,0.76,0,1.58,11.23,Majority White,1370,12,0,25,178
509,1518,78.85,0.92,0,8.17,12.06,Majority White,1197,14,0,124,183
510,2147,71.03,3.26,0,5.64,20.07,Majority White,1525,70,0,121,431
511,1827,80.24,0,0,2.52,17.24,Majority White,1466,0,0,46,315
512,1704,78.29,9.1,0,3.46,9.15,Majority White,1334,155,0,59,156
513,2879,90.31,0,0,3.23,6.46,Majority White,2600,0,0,93,186
514,1695,83.78,3.48,0,5.37,7.37,Majority White,1420,59,0,91,125
601,2988,81.79,3.75,0,2.81,11.65,Majority White,2444,112,0,84,348
602,2639,76.85,1.1,0,4.77,17.28,Majority White,2028,29,0,126,456
603,3654,84.48,0.88,0.68,6.62,7.33,Majority White,3087,32,25,242,268
604,4258,82.43,0.63,0.52,4.63,11.79,Majority White,3510,27,22,197,502
605,1470,73.06,5.17,0,6.46,15.31,Majority White,1074,76,0,95,225
608,4901,83.23,4.12,0,7.49,5.16,Majority White,4079,202,0,367,253
609,8330,74.51,5.53,0.54,3.72,15.69,Majority White,6207,461,45,310,1307
610,2395,78.71,1.29,0,5.09,14.91,Majority White,1885,31,0,122,357
611,1444,91.2,2.01,0,4.85,1.94,Majority White,1317,29,0,70,28
612,2007,86.4,1.1,0,4.48,8.02,Majority White,1734,22,0,90,161
615,1978,88.07,1.62,0,3.24,7.08,Majority White,1742,32,0,64,140
618,1240,72.82,7.18,0,7.58,12.42,Majority White,903,89,0,94,154
619.01,3568,73.43,2.55,1.43,15.19,7.4,Majority White,2620,91,51,542,264
619.02,4458,87.35,2.65,0.45,7.29,2.27,Majority White,3894,118,20,325,101
620,3093,84.09,6.14,0,4.78,4.98,Majority White,2601,190,0,148,154
621,3965,81.66,2.72,0,7.47,8.15,Majority White,3238,108,0,296,323
622,3011,84.69,4.28,0,4.12,6.91,Majority White,2550,129,0,124,208
623,1712,86.45,1.46,0,6.6,5.49,Majority White,1480,25,0,113,94
624,1413,91.37,1.91,0,4.18,2.55,Majority White,1291,27,0,59,36
625,1677,85.57,0,0,6.44,7.99,Majority White,1435,0,0,108,134
626,2310,82.94,1.43,0,9.44,6.19,Majority White,1916,33,0,218,143
627,2905,89.33,0,0.62,2.58,7.47,Majority White,2595,0,18,75,217
628,3848,85.68,1.17,0.23,5.85,7.07,Majority White,3297,45,9,225,272
629,3937,88.93,3.76,0,4.8,2.51,Majority White,3501,148,0,189,99
630,3311,77.53,4.89,0,11.05,6.52,Majority White,2567,162,0,366,216
631,2219,88.96,0.86,0,5.23,4.96,Majority White,1974,19,0,116,110
632,7250,83.43,2.61,0,6.94,7.02,Majority White,6049,189,0,503,509
633.01,2519,79.71,10.48,0,5.76,4.05,Majority White,2008,264,0,145,102
633.02,4376,80.87,2.01,0,10.03,7.08,Majority White,3539,88,0,439,310
633.03,1346,86.55,1.41,0,7.28,4.75,Majority White,1165,19,0,98,64
634,2381,84.21,3.57,0,4.91,7.31,Majority White,2005,85,0,117,174
701.01,3655,87.14,2.54,0,5.96,4.35,Majority White,3185,93,0,218,159
701.02,3075,81.95,3.97,0,4.46,9.63,Majority White,2520,122,0,137,296
701.03,1660,80.36,6.57,0,7.05,6.02,Majority White,1334,109,0,117,100
702,4160,81.15,5.63,0,9.13,4.09,Majority White,3376,234,0,380,170
703,3557,90.44,1.57,0,3.94,4.05,Majority White,3217,56,0,140,144
704,3385,77.87,6.47,0,8.36,7.3,Majority White,2636,219,0,283,247
705,3309,82.8,7.19,0,5.11,4.9,Majority White,2740,238,0,169,162
706,3687,85.82,1.33,0,3.39,9.47,Majority White,3164,49,0,125,349
707,4976,73.09,6.11,0,7.56,13.24,Majority White,3637,304,0,376,659
710,4467,82.87,5.91,0.16,6.34,4.72,Majority White,3702,264,7,283,211
711,3112,83.23,3.37,0,7.46,5.94,Majority White,2590,105,0,232,185
712,2100,77.24,3.81,0,8.67,10.29,Majority White,1622,80,0,182,216
713,3790,85.28,1.08,0,8.26,5.38,Majority White,3232,41,0,313,204
714,4942,80.11,5.26,0,6.7,7.93,Majority White,3959,260,0,331,392
715,5922,82.69,2.75,0,10.49,4.07,Majority White,4897,163,0,621,241
716,1708,80.62,8.84,0,6.62,3.92,Majority White,1377,151,0,113,67
717,1775,77.58,9.41,0.45,7.77,4.79,Majority White,1377,167,8,138,85
718,2764,74.89,12.12,0,9.33,3.65,Majority White,2070,335,0,258,101
801,6805,84.91,6.75,0.59,3.06,4.7,Majority White,5778,459,40,208,320
802.01,3241,81.36,8.67,1.6,6.45,1.91,Majority White,2637,281,52,209,62
802.02,3658,90.24,2.9,0,1.83,5.03,Majority White,3301,106,0,67,184
803,4765,78.7,6.36,0,9.63,5.31,Majority White,3750,303,0,459,253
804,4229,33.18,61.62,0.07,0.97,4.16,Majority Black,1403,2606,3,41,176
810,7943,66.99,15.23,0,10.65,7.13,Majority White,5321,1210,0,846,566
811,4597,71,8.38,0,5.74,14.88,Majority White,3264,385,0,264,684
812.01,4863,79.81,2.41,0,10.67,7.11,Majority White,3881,117,0,519,346
812.02,3035,85.93,2.14,0,7.74,4.18,Majority White,2608,65,0,235,127
813,5380,77.77,3.61,0,14.85,3.77,Majority White,4184,194,0,799,203
814.01,2286,81.71,2.32,0,11.59,4.37,Majority White,1868,53,0,265,100
814.02,4997,72.38,5.52,0,18.91,3.18,Majority White,3617,276,0,945,159
814.03,7834,71.98,3.28,0.65,20.37,3.71,Majority White,5639,257,51,1596,291
815,5062,69.77,2.49,0,20.78,6.95,Majority White,3532,126,0,1052,352
816,3943,72.18,3.63,0,18.46,5.73,Majority White,2846,143,0,728,226
817,3481,76.67,2.38,1.49,14.16,5.29,Majority White,2669,83,52,493,184
818,9287,84.61,1.1,0,8.99,5.3,Majority White,7858,102,0,835,492
819,936,45.41,44.34,0.64,8.12,1.5,Majority White,425,415,6,76,14
901,3696,83.17,0.81,0,3.63,12.39,Majority White,3074,30,0,134,458
902,7373,86.75,2.22,0,1.78,9.25,Majority White,6396,164,0,131,682
903,1410,91.91,0,0,3.48,4.61,Majority White,1296,0,0,49,65
1001,5972,89.62,0.02,0,1.71,8.66,Majority White,5352,1,0,102,517
1002,7070,87.09,0.51,0,0.24,12.16,Majority White,6157,36,0,17,860
1003,6389,83.17,0.78,0.09,5.73,10.22,Majority White,5314,50,6,366,653
1004,3596,85.96,0,0.14,2.25,11.65,Majority White,3091,0,5,81,419
1005,5332,90.57,0.32,1.01,2.29,5.81,Majority White,4829,17,54,122,310
1006,5345,76.67,1.37,0,5.89,16.07,Majority White,4098,73,0,315,859
1007,5153,81.14,0.16,0,4.44,14.26,Majority White,4181,8,0,229,735
1101,6022,73.31,0.98,0,5.05,20.66,Majority White,4415,59,0,304,1244
1102,3536,66.83,2.15,1.24,12.87,16.91,Majority White,2363,76,44,455,598
1103,5744,74.25,0,0.44,10.9,14.42,Majority White,4265,0,25,626,828
1104,4769,71.15,0.21,0,6.37,22.27,Majority White,3393,10,0,304,1062
1105.01,6218,67.48,0.35,0,9.42,22.74,Majority White,4196,22,0,586,1414
1105.02,3673,69.45,2.18,0.27,6.26,21.84,Majority White,2551,80,10,230,802
1201,4030,88.81,0.2,0,1.07,9.93,Majority White,3579,8,0,43,400
1202,5051,72.96,2.2,0,12.57,12.27,Majority White,3685,111,0,635,620
1203,7090,74.16,0.82,0,14.98,10.04,Majority White,5258,58,0,1062,712
1204,4085,62.08,0.27,0,16.11,21.54,Majority White,2536,11,0,658,880
1301,5520,66.58,2.75,0.11,25.42,5.14,Majority White,3675,152,6,1403,284
1302,1637,67.07,1.41,0,16.25,15.27,Majority White,1098,23,0,266,250
1303,6036,52.93,5.22,0.8,23.41,17.64,Majority White,3195,315,48,1413,1065
1401,4772,45.22,11.84,0.82,8.13,33.99,Majority White,2158,565,39,388,1622
1402,7932,49.38,3.79,0.03,13.38,33.42,Majority White,3917,301,2,1061,2651
1403.01,4110,36.01,1.65,0.56,13.38,48.39,Majority Latino,1480,68,23,550,1989
1403.02,4785,46.17,4.93,0,12.81,36.09,Majority White,2209,236,0,613,1727
1404,8166,55.02,0.16,0,16.43,28.39,Majority White,4493,13,0,1342,2318
1405,5471,40.45,3.47,0,20.53,35.55,Majority White,2213,190,0,1123,1945
1406.01,3663,39.78,2.89,0,15.32,42.01,Majority Latino,1457,106,0,561,1539
1406.02,7355,44.95,5.06,0,6.36,43.63,Majority White,3306,372,0,468,3209
1407.01,3488,37.44,4.73,0.37,15.71,41.74,Majority Latino,1306,165,13,548,1456
1407.02,8922,50.1,2.01,0.09,3.3,44.51,Majority White,4470,179,8,294,3971
1408,8050,56.04,4.76,0,8.15,31.06,Majority White,4511,383,0,656,2500
1502,8649,66.79,1.99,0.32,5.85,25.04,Majority White,5777,172,28,506,2166
1503,8845,67.24,2.37,0,2.34,28.05,Majority White,5947,210,0,207,2481
1504.01,5994,67.2,1.52,0.98,3.6,26.69,Majority White,4028,91,59,216,1600
1504.02,4269,71.98,0.02,0,3.09,24.9,Majority White,3073,1,0,132,1063
1505.01,4428,72.61,2.55,0,3.75,21.09,Majority White,3215,113,0,166,934
1505.02,4716,63.57,1.08,0,7.97,27.37,Majority White,2998,51,0,376,1291
1506,4685,55.92,0.17,0.75,9.88,33.28,Majority White,2620,8,35,463,1559
1507,5029,59.34,0.84,0,3.44,36.39,Majority White,2984,42,0,173,1830
1508,5834,46.66,1.13,1.22,5.78,45.22,Majority White,2722,66,71,337,2638
1510.01,3130,47.89,4.98,0,4.57,42.56,Majority White,1499,156,0,143,1332
1510.02,5847,45.6,0.72,0.15,1.93,51.6,Majority Latino,2666,42,9,113,3017
1511,7326,50.38,0.49,0.11,3.73,45.29,Majority White,3691,36,8,273,3318
1512,4604,65.07,0.56,0,0.93,33.43,Majority White,2996,26,0,43,1539
1601,3172,61.44,0.32,0.41,11.92,25.91,Majority White,1949,10,13,378,822
1602,3693,69.16,1.41,0.38,7.5,21.55,Majority White,2554,52,14,277,796
1603,4124,66.39,6.13,0.95,10.69,15.83,Majority White,2738,253,39,441,653
1604,6226,60.18,3.97,0,4.74,31.11,Majority White,3747,247,0,295,1937
1605.01,6479,49.73,2.45,0,7.98,39.84,Majority White,3222,159,0,517,2581
1605.02,5947,51.45,1.01,0,5.36,42.17,Majority White,3060,60,0,319,2508
1606.01,5063,61.62,1.3,0,3.77,33.3,Majority White,3120,66,0,191,1686
1606.02,4915,56.15,0.98,0,8.59,34.28,Majority White,2760,48,0,422,1685
1607,8273,53.92,4.03,0.22,9.34,32.49,Majority White,4461,333,18,773,2688
1608,7000,54.27,0.76,0,7.69,37.29,Majority White,3799,53,0,538,2610
1609,3082,65.83,1.69,0,7.56,24.92,Majority White,2029,52,0,233,768
1610,2460,65.37,1.46,0,2.15,31.02,Majority White,1608,36,0,53,763
1611,2075,70.12,6.65,0,8.53,14.7,Majority White,1455,138,0,177,305
1612,4269,54.32,0.61,0.12,4.26,40.69,Majority White,2319,26,5,182,1737
1613,5521,57.47,1.88,0,1.43,39.21,Majority White,3173,104,0,79,2165
1701,1928,78.89,6.48,0,4.98,9.65,Majority White,1521,125,0,96,186
1702,5072,57.33,0,0,8.66,34.01,Majority White,2908,0,0,439,1725
1703,7102,67.14,0.23,0.15,3.45,29.03,Majority White,4768,16,11,245,2062
1704,4046,83.37,2.32,0.67,2.74,10.9,Majority White,3373,94,27,111,441
1705,6250,78.03,0.48,0,2.78,18.7,Majority White,4877,30,0,174,1169
1706,3043,75.98,0.3,0,3.12,20.6,Majority White,2312,9,0,95,627
1707,3305,73.65,0.27,0,8.9,17.19,Majority White,2434,9,0,294,568
1708,4998,73.01,0.82,0,4,22.17,Majority White,3649,41,0,200,1108
1709,2322,64,5.51,0,1.34,29.16,Majority White,1486,128,0,31,677
1710,9635,67.47,4.15,0.29,4.82,23.27,Majority White,6501,400,28,464,2242
1711,4822,66.34,1.82,0,1.97,29.86,Majority White,3199,88,0,95,1440
1801,8155,59.53,1.13,0,3.2,36.14,Majority White,4855,92,0,261,2947
1901,3314,32.02,1.24,0,2.75,64,Majority Latino,1061,41,0,91,2121
1902,7558,36.54,1.44,0,1.56,60.45,Majority Latino,2762,109,0,118,4569
1903,7193,48.13,1.36,0.61,1.38,48.52,Majority Latino,3462,98,44,99,3490
1904.01,5416,50.18,0.33,0.42,5.37,43.69,Majority White,2718,18,23,291,2366
1904.02,7713,47.19,0.43,0.4,1.26,50.72,Majority Latino,3640,33,31,97,3912
1906.01,6922,32.78,3.42,0,1.3,62.5,Majority Latino,2269,237,0,90,4326
1906.02,7941,37.15,1.96,0.09,2.12,58.68,Majority Latino,2950,156,7,168,4660
1907.01,3911,40.02,0.54,0,1.18,58.27,Majority Latino,1565,21,0,46,2279
1907.02,7193,35.06,3.31,0,0,61.63,Majority Latino,2522,238,0,0,4433
1908,9009,30.92,1.01,0.09,0,67.98,Majority Latino,2786,91,8,0,6124
1909,3080,33.02,4.12,0.26,0,62.6,Majority Latino,1017,127,8,0,1928
1910,3957,36.26,2.05,0,3.03,58.66,Majority Latino,1435,81,0,120,2321
1911,10218,28.19,2.74,0.42,0.43,68.22,Majority Latino,2880,280,43,44,6971
1912,5107,26.63,1.39,0.37,0.29,71.31,Majority Latino,1360,71,19,15,3642
1913.01,7489,26.52,7.13,0,3.39,62.96,Majority Latino,1986,534,0,254,4715
1913.02,7607,34.61,3.54,0,0.66,61.19,Majority Latino,2633,269,0,50,4655
2001,5576,37.43,4.16,0.5,3.3,54.61,Majority Latino,2087,232,28,184,3045
2002,6396,31.18,2.66,0.38,1.75,64.04,Majority Latino,1994,170,24,112,4096
2003,2787,30.93,0.32,0,1.97,66.77,Majority Latino,862,9,0,55,1861
2004.01,4965,29.18,2.66,0.81,1.17,66.18,Majority Latino,1449,132,40,58,3286
2004.02,5607,28.64,2.87,0,1.07,67.42,Majority Latino,1606,161,0,60,3780
2101,4552,61.69,3.03,0,6.22,29.06,Majority White,2808,138,0,283,1323
2104,4037,52.34,1.16,0,1.98,44.51,Majority White,2113,47,0,80,1797
2105.01,5412,56.13,2.14,0.39,0.3,41.04,Majority White,3038,116,21,16,2221
2105.02,7458,54.81,1.96,0.12,0.76,42.34,Majority White,4088,146,9,57,3158
2106.01,4098,50.1,0.61,0.63,5.22,43.44,Majority White,2053,25,26,214,1780
2106.02,5870,55.21,3.41,0.15,2.49,38.74,Majority White,3241,200,9,146,2274
2107,6294,56.74,1.19,0,1.89,40.18,Majority White,3571,75,0,119,2529
2108,1464,58.06,0.14,0,1.5,40.3,Majority White,850,2,0,22,590
2109,3965,63.03,4.36,0,1.97,30.64,Majority White,2499,173,0,78,1215
2203,2538,69.27,1.89,0.24,1.77,26.83,Majority White,1758,48,6,45,681
2204,3181,70.45,0.35,0,6.88,22.32,Majority White,2241,11,0,219,710
2205,2898,75.67,3.93,0,4,16.39,Majority White,2193,114,0,116,475
2206.01,2665,59.02,4.92,1.05,0.71,34.3,Majority White,1573,131,28,19,914
2206.02,6856,62.32,4.54,0.63,3.84,28.68,Majority White,4273,311,43,263,1966
2207.01,5204,51.04,3.59,0.15,0.52,44.7,Majority White,2656,187,8,27,2326
2207.02,6189,48.54,3.97,0,1.68,45.81,Majority White,3004,246,0,104,2835
2209.01,4201,42.11,7.26,0,0.57,50.06,Majority Latino,1769,305,0,24,2103
2209.02,4906,50.9,0.63,0.1,0.31,48.06,Majority White,2497,31,5,15,2358
